消防栓编号,施工地址或工程编号,工程编号,安装日期,所属公司,消防栓口径,样式,本点号,地面高程,横坐标,纵坐标,管理单位,所属区县,录入人员,录入时间,目前状况,备注,设备类别,关键字,设备类型,埋设深度,管顶高程,材质,所在道路
339, ,,,,100,,J69263263272,2.768,509850.876,2546952.933,,禅城区,,,, ,XHS,5731418,消防栓,0,2.768, ,同济西路佛山大道路口北侧                                    
340, ,,,,100,,J69263263277,3.309,509744.33,2546952.625,,禅城区,,,, ,XHS,5731419,消防栓,0,3.309, ,佛山大道石紫综合市场南侧路口                                
341, ,,,,100,,J69163263282,3.984,509722.429,2546807.249,,禅城区,,,, ,XHS,5731420,消防栓,0,3.984, ,佛山大道南327之一中国建设银行侧                             
358, ,,,,100,,J68063263942,1.99,509786.708,2544723.044,,禅城区,,,, ,XHS,5731421,消防栓,0,1.99, ,佛山大道番村碑坊对面                                        
359, ,,,,100,,J68063263956,1.968,509789.511,2544573.797,,禅城区,,,, ,XHS,5731422,消防栓,0,1.968, ,佛山大道鲤鱼门海鲜洒家东南侧路口                            
361, ,,,,100,,J67863263976,2.18,509790.412,2544306.287,,禅城区,,,, ,XHS,5731424,消防栓,0,2.18, ,                                                            
362, ,,,,100,,J67663264007,2.859,509741.123,2543898.385,,禅城区,,,, ,XHS,5731425,消防栓,0,2.859, ,                                                            
363, ,,,,100,,J67563264018,1.312,509690.748,2543688.872,,禅城区,,,, ,XHS,5731426,消防栓,0,1.312, ,                                                            
364, ,,,,100,,J67963264026,2.126,509848.567,2544441.395,,禅城区,,,, ,XHS,5731427,消防栓,0,2.126, ,                                                            
365, ,,,,100,,J6946356404,2.956,510522.195,2547367.376,,禅城区,,,, ,XHS,5731428,消防栓,0.5,2.456, ,体育路38号东侧                                              
367, ,,,,100,,J68463264143,2.085,509709.482,2545341.061,,禅城区,,,, ,XHS,5731429,消防栓,0,2.085, ,佛山大道佛山商厦南侧                                        
368, ,,,,100,,J69863264202,3.005,509837.471,2548324.822,,禅城区,,,, ,XHS,5731430,消防栓,0,3.005, ,人民西路佛山服装厂大门西侧                                  
369, ,,,,100,,J6936356439,2.428,510608.543,2547294.095,,禅城区,,,, ,XHS,5731431,消防栓,0.6,1.828, ,乐园北街3号门口对面                                         
370, ,,,,100,,J69863264434,3.185,509751.19,2548155.199,,禅城区,,,, ,XHS,5731432,消防栓,0,3.185, ,佛山达到旅游大厦大门北侧                                    
371, ,,,,100,,J6936356513,2.333,510507.418,2547293.436,,禅城区,,,, ,XHS,5731433,消防栓,0.7,1.633, ,乐园北街8号北侧                                             
372, ,,,,100,,J6956366548,2.478,510651.742,2547551.663,,禅城区,,,, ,XHS,5731434,消防栓,0.6,1.878, ,祖庙路佛山长线招待所东南侧                                  
373, ,,,,100,,J6946356573,3.348,510618.247,2547496.512,,禅城区,,,, ,XHS,5731435,消防栓,0.85,2.498, ,卫国路市消费者委员会门口侧                                  
374, ,,,,100,,J6946366580,3.36,510784.935,2547496.328,,禅城区,,,, ,XHS,5731436,消防栓,1.1,2.26, ,卫国路120号对面                                             
633, ,,,,100,,J701632A1130,2.714,509837.019,2548869.703,,禅城区,,,, ,XHS,5731715,消防栓,0,2.714, ,丝绸大街福监门酒家南侧                                      
635, ,,,,100,,J701632A1146,2.476,509786.339,2548903.052,,禅城区,,,, ,XHS,5731717,消防栓,0,2.476, ,佛山大道北佛山大道加油站西北侧                              
636, ,,,,100,,J701636A11692,3.964,510846.119,2548815.211,,禅城区,,,, ,XHS,5731718,消防栓,0,3.964, ,莲花路236号1梯口                                            
637, ,,,,100,,J700636A11750,3.734,510651.902,2548735.607,,禅城区,,,, ,XHS,5731719,消防栓,0,3.734, ,已废                                                        
638, ,,,,100,,J700636A11766,3.382,510643.965,2548713.337,,禅城区,,,, ,XHS,5731720,消防栓,0,3.382, ,亲仁路7号对面                                               
639, ,,,,100,,J700636A11812,3.486,510706.622,2548727.42,,禅城区,,,, ,XHS,5731721,消防栓,0,3.486, ,亲仁路广东省六建工程公司门口西侧                            
577, ,,,,100,,J699639816,5.26,511418.694,2548395,,禅城区,,,, ,XHS,5731722,消防栓,0,5.26, ,福贤路福升大厦南门口                                        
580, ,,,,50,,J70063982732,2.691,511558.747,2548697.062,,禅城区,,,, ,XHS,5731724,消防栓,0,2.691, ,建红街65号东北侧                                            
581, ,,,,100,,J6996398296,4.428,511480.341,2548370.1,,禅城区,,,, ,XHS,5731725,消防栓,0,4.428, ,燎原路5巷26号门口                                           
582, ,,,,50,,J70063982984,2.814,511608.608,2548573.938,,禅城区,,,, ,XHS,5731726,消防栓,0,2.814, ,聚德里1号门口                                               
583, ,,,,100,,J70063983102,4.887,511473.676,2548630.495,,禅城区,,,, ,XHS,5731727,消防栓,0,4.887, ,福禄路银花总汇东北侧                                        
584, ,,,,100,,J70063983111,5.312,511422.544,2548644.132,,禅城区,,,, ,XHS,5731728,消防栓,0,5.312, ,福禄路银花总汇西北侧                                        
585, ,,,,100,,J70063983118,3.972,511514.361,2548589.579,,禅城区,,,, ,XHS,5731729,消防栓,0,3.972, ,惺台公40号东南侧                                            
586, ,,,,100,,J70063983187,5.094,511459.645,2548582.747,,禅城区,,,, ,XHS,5731730,消防栓,0,5.094, ,福禄路银花总汇东南侧                                        
587, ,,,,100,,J70063983202,5.474,511410.165,2548597.13,,禅城区,,,, ,XHS,5731731,消防栓,0,5.474, ,福禄路银花总汇碑下                                          
589, ,,,,40,,J70164083322,3.388,511651.17,2548800.166,,禅城区,,,, ,XHS,5731733,消防栓,0,3.388, ,建红街6座东侧                                               
590, ,,,,50,,J70164083589,2.555,511682.807,2548872.326,,禅城区,,,, ,XHS,5731734,消防栓,0,2.555, ,和平里25号东侧                                              
375, ,,,,100,,J6946366624,2.842,510695.448,2547465.732,,禅城区,,,, ,XHS,5731437,消防栓,0.95,1.892, ,卫国路体育路路口行人线侧                                    
376, ,,,,100,,J693636666,2.2,510686.045,2547171.597,,禅城区,,,, ,XHS,5731438,消防栓,0.5,1.7, ,体育路15号门口                                              
377, ,,,,100,,J6956366686,2.551,510679.08,2547570.767,,禅城区,,,, ,XHS,5731439,消防栓,0.6,1.951, ,祖庙53号西侧                                                
378, ,,,,100,,J6936366736,2.582,510865.76,2547315.246,,禅城区,,,, ,XHS,5731440,消防栓,0.35,2.232, ,体育一街16号门口                                            
379, ,,,,100,,J6936366785,2.987,510848.566,2547265.06,,禅城区,,,, ,XHS,5731441,消防栓,0,2.987, ,体育一街15号之一                                            
380, ,,,,100,,J6936366793,2.359,510861.386,2547234.764,,禅城区,,,, ,XHS,5731442,消防栓,0,2.359, ,永红五坊55号南侧                                            
381, ,,,,100,,J690637B21028,3.037,510900.659,2546701.136,,禅城区,,,, ,XHS,5731443,消防栓,0,3.037, ,同华东一路荣山中学门口东侧                                  
382, ,,,,100,,J690637B21106,2.942,511098.08,2546702.138,,禅城区,,,, ,XHS,5731444,消防栓,0,2.942, ,同华东一路华新大厦北侧                                      
385, ,,,,100,,J689637B21383,3.032,510985.426,2546389.154,,禅城区,,,, ,XHS,5731446,消防栓,0,3.032, ,同华东四街4号东侧                                           
386, ,,,,100,,J689637B21451,3.118,510945.139,2546460.372,,禅城区,,,, ,XHS,5731447,消防栓,0,3.118, ,同华东二路同济医院东侧                                      
387, ,,,,100,,J689637B21484,3.259,510896.665,2546405.658,,禅城区,,,, ,XHS,5731448,消防栓,0,3.259, ,同华东四街2号之6西南侧                                      
388, ,,,,100,,J689636B21548,3.089,510825.533,2546373.343,,禅城区,,,, ,XHS,5731449,消防栓,0,3.089, ,同华路14号1座东北侧                                         
404, ,,,,100,,J690635B22531,3.013,510457.642,2546578.753,,禅城区,,,, ,XHS,5731450,消防栓,0,3.013, ,汾江中路中信实业银行对面                                    
405, ,,,,100,,J690635B22537,2.777,510456.905,2546653.793,,禅城区,,,, ,XHS,5731451,消防栓,0,2.777, ,汾江中路市轻工业品进出口公司对面                            
406, ,,,,100,,J690635B22573,2.819,510534.136,2546737.84,,禅城区,,,, ,XHS,5731452,消防栓,0,2.819, ,同华横街工商银行对面市干部学校路口                          
407, ,,,,100,,J689635B22654,3.309,510425.614,2546477.451,,禅城区,,,, ,XHS,5731453,消防栓,0,3.309, ,汾江中路市司法局东南侧                                      
408, ,,,,100,,J689635B22670,3.322,510420.703,2546415.52,,禅城区,,,, ,XHS,5731454,消防栓,0,3.322, ,汾江中路司法局东南侧                                        
591, ,,,,50,,J70164083819,2.704,511833.852,2548772.005,,禅城区,,,, ,XHS,5731735,消防栓,0,2.704, ,同安大街35号对面                                            
592, ,,,,50,,J70164083897,3.269,511796.665,2548824.833,,禅城区,,,, ,XHS,5731736,消防栓,0,3.269, ,汾左街永安公园门口对面                                      
719, ,,,,100,,J692630B43406,4.568,509239.154,2546932.729,,禅城区,,,, ,XHS,5731737,消防栓,0,4.568, ,                                                            
720, ,,,,100,,J692630B43614,4.385,509266.931,2547039.355,,禅城区,,,, ,XHS,5731738,消防栓,0,4.385, ,                                                            
722, ,,,,100,,J692631B44158,4.226,509421.234,2546971.344,,禅城区,,,, ,XHS,5731740,消防栓,0,4.226, ,江弯路弼塘东二街7号门口                                     
723, ,,,,100,,J692631B44210,3.652,509603.256,2547121.737,,禅城区,,,, ,XHS,5731741,消防栓,0,3.652, ,江弯一路南华模具标准件总汇门口                              
724, ,,,,100,,J692630B44291,3.987,509317.048,2546972.684,,禅城区,,,, ,XHS,5731742,消防栓,0,3.987, ,                                                            
725, ,,,,100,,J691631B44374,4.471,509431.809,2546810.287,,禅城区,,,, ,XHS,5731743,消防栓,0,4.471, ,弼塘东二街6号门口                                           
726, ,,,,100,,J691631B444A03,3.958,509561.737,2546751.666,,禅城区,,,, ,XHS,5731744,消防栓,0,3.958, ,                                                            
727, ,,,,100,,J691631B44425,3.675,509564.093,2546888.152,,禅城区,,,, ,XHS,5731745,消防栓,0,3.675, ,外贸新村5号门口侧                                           
728, ,,,,100,,J691631B44547,3.677,509558.014,2546799.085,,禅城区,,,, ,XHS,5731746,消防栓,0,3.677, ,外貌新村21号门口                                            
729, ,,,,100,,J699640333A36,3.658,511851.063,2548356.94,,禅城区,,,, ,XHS,5731747,消防栓,0,3.658, ,                                                            
731, ,,,,100,,J7046341068,4.596,510323.009,2549532.048,,禅城区,,,, ,XHS,5731749,消防栓,1,3.596, ,                                                            
732, ,,,,100,,J68363111124,4.166,509553.494,2545317.246,,禅城区,,,, ,XHS,5731750,消防栓,0,4.166, ,                                                            
734, ,,,,100,,J69564011550,3.928,511722.371,2547706.237,,禅城区,,,, ,XHS,5731751,消防栓,0,3.928, ,                                                            
735, ,,,,100,,J696611101,4.777,504563.288,2547704.121,,禅城区,,,, ,XHS,5731752,消防栓,0,4.777, ,石湾区张槎一路莲大中路长石街公厕旁                          
736, ,,,,100,,J6946111023,3.954,504596.419,2547468.622,,禅城区,,,, ,XHS,5731753,消防栓,0,3.954, ,石湾区莲大中路大富商场对面                                  
737, ,,,,100,,J6936111043,3.149,504615.644,2547231.53,,禅城区,,,, ,XHS,5731754,消防栓,0,3.149, ,石湾区莲大路12号门口侧                                      
84, ,,2005/9/29,,100,,J70164431382,3.463,512672.941,2548824.028,,禅城区,,,, ,XHS,5731154,消防栓,0,3.463, ,佛平路东升大街                                              
85, ,,,,100,,J70164131561,3.147,512057.378,2548802.044,,禅城区,,,, ,XHS,5731155,消防栓,0,3.147, ,市东上路6号南侧草地内                                       
2, ,,,,100,,J69164311311,3.342,512437.075,2546948.093,,禅城区,,,, ,XHS,5731156,消防栓,0,3.342, ,忠义路栅下东林院工业区牌坊底                                
3, ,,,,100,,J69164311331,3.391,512532.744,2546880.282,,禅城区,,,, ,XHS,5731157,消防栓,0,3.391, ,忠义路45号北侧巷口                                          
4, ,,,,100,,J69164311358,3.916,512628.058,2546814.624,,禅城区,,,, ,XHS,5731158,消防栓,0,3.916, ,忠义路平正桥北侧（53号北侧路口）                            
5, ,,,,100,,J69164411366,3.565,512654.352,2546856.903,,禅城区,,,, ,XHS,5731159,消防栓,0,3.565, ,忠义路49号之一对面                                          
6, ,,,,100,,J69164411411,2.95,512696.652,2546893.286,,禅城区,,,, ,XHS,5731160,消防栓,0,2.95, ,忠义路三和街5号门口对开                                     
7, ,,,,100,,J69264411433,3.416,512750.49,2546996.763,,禅城区,,,, ,XHS,5731161,消防栓,0,3.416, ,三和街9号门口                                               
9, ,,,,65,,J69064311626,4.255,512532.857,2546707.851,,禅城区,,,, ,XHS,5731163,消防栓,0,4.255, ,忠义路河边街53号门口对面                                    
10, ,,,,100,,J69164211923,3.798,512281.656,2546883.793,,禅城区,,,, ,XHS,5731164,消防栓,0,3.798, ,厚源路佛山市铸造厂阀门厂门口南侧                            
13, ,,,,100,,J69564312172,2.657,512563.396,2547664.225,,禅城区,,,, ,XHS,5731165,消防栓,0,2.657, ,石角塘边街中国农村信用社门口侧                              
14, ,,,,100,,J69664412467,3.259,512664.008,2547794.446,,禅城区,,,, ,XHS,5731166,消防栓,0,3.259, ,下石角大街市朝东棉布整理厂门口                              
409, ,,,,100,,J688635B22692,3.131,510421.239,2546287.224,,禅城区,,,, ,XHS,5731455,消防栓,0,3.131, ,汾江中路佛山工商行政管理培训中心任                          
410, ,,,,100,,J688634B22810,3.478,510332.32,2546217.22,,禅城区,,,, ,XHS,5731456,消防栓,0,3.478, ,唐园东三街10号东南侧                                        
411, ,,,,100,,J688634B22846,3.013,510250.232,2546283.436,,禅城区,,,, ,XHS,5731457,消防栓,0,3.013, ,唐园东三街9号侧                                             
412, ,,,,100,,J688633B22947,3.226,510107.969,2546282.729,,禅城区,,,, ,XHS,5731458,消防栓,0,3.226, ,唐园东三街30号对面                                          
415, ,,,,100,,J688637B23305,2.662,510992.455,2546328.606,,禅城区,,,, ,XHS,5731459,消防栓,0,2.662, ,同华东五街28号东北侧                                        
416, ,,,,100,,J688637B23331,3.05,511121.957,2546302.706,,禅城区,,,, ,XHS,5731460,消防栓,0,3.05, ,普澜二路鸿业商业街01铺位侧                                  
417, ,,,,100,,J689637B23345,2.871,511112.412,2546383.383,,禅城区,,,, ,XHS,5731461,消防栓,0,2.871, ,同华东四街12号东南侧                                        
418, ,,,,100,,J690637B23362,2.843,511119.381,2546613.095,,禅城区,,,, ,XHS,5731462,消防栓,0,2.843, ,普澜二路小西湖咖啡厅对面                                    
419, ,,,,100,,J689637B23391,2.925,511100.207,2546483.011,,禅城区,,,, ,XHS,5731463,消防栓,0,2.925, ,普澜二路与同华东二路路口                                    
420, ,,,,100,,J692637B2414,2.462,511115.597,2547108.402,,禅城区,,,, ,XHS,5731464,消防栓,0,2.462, ,表后消防接合器                                              
421, ,,,,100,,J692637B2491,3.641,511106.422,2547050.522,,禅城区,,,, ,XHS,5731465,消防栓,0,3.641, ,表后消防接合器                                              
423, ,,,,50,,J691637B2547,2.314,511040.31,2546887.042,,禅城区,,,, ,XHS,5731467,消防栓,0,2.314, ,普澜二路旺旺海鲜酒家西侧                                    
424, ,,,,50,,J691637B2549,2.039,511039.957,2546865.497,,禅城区,,,, ,XHS,5731468,消防栓,0,2.039, ,普澜二路旺旺海鲜酒家西侧                                    
425, ,,,,50,,J691637B2552,2.661,511069.714,2546857.605,,禅城区,,,, ,XHS,5731469,消防栓,0,2.661, ,普澜二路旺旺海鲜酒家南侧                                    
426, ,,,,50,,J691637B2555,3.48,511108.021,2546857.456,,禅城区,,,, ,XHS,5731470,消防栓,0,3.48, ,普澜二路旺旺海鲜酒家                                        
428, ,,,,100,,J691637B2621,3.151,510938.033,2546860.748,,禅城区,,,, ,XHS,5731472,消防栓,0,3.151, ,同济路20号侧                                                
429, ,,,,100,,J691637B2668,2.781,510992.07,2546760.645,,禅城区,,,, ,XHS,5731473,消防栓,0,2.781, ,同华东一路40号门口                                          
738, ,,,,100,,J6926111068,3.308,504625.94,2547078.931,,禅城区,,,, ,XHS,5731755,消防栓,0,3.308, ,石湾区大富莲大南路永大橡塑厂西侧路口                        
739, ,,,,100,,J6916121079,4.637,504658.16,2546892.788,,禅城区,,,, ,XHS,5731756,消防栓,0,4.637, ,石湾区莲大南路东便新村十二巷巷口                            
741, ,,,,100,,J69061110118,2.749,504540.427,2546554.755,,禅城区,,,, ,XHS,5731758,消防栓,0,2.749, ,石湾区莲塘路莲塘管理区办事处西侧                            
742, ,,,,100,,J68861210180,2.969,504810.364,2546265.81,,禅城区,,,, ,XHS,5731759,消防栓,0,2.969, ,石湾区莲塘佛山石湾银鹏陶瓷有限公司对面                      
743, ,,,,100,,J69560710233,3.552,503621.154,2547513.308,,禅城区,,,, ,XHS,5731760,消防栓,0,3.552, ,石湾区水厂路11号侧                                          
744, ,,,,100,,J68861110274,3.146,504555.64,2546293.356,,禅城区,,,, ,XHS,5731761,消防栓,0,3.146, ,石湾区莲大路张槎莲塘工业区路口                              
745, ,,,,100,,J69560710284,3.581,503615.106,2547661.036,,禅城区,,,, ,XHS,5731762,消防栓,0,3.581, ,石湾 区水厂路鸿建花园门口                                   
746, ,,,,100,,J69761110320,3.419,504550.733,2548012.109,,禅城区,,,, ,XHS,5731763,消防栓,0,3.419, ,石湾区工业路1号康大制衣厂门口                               
747, ,,,,100,,J69661110343,3.4,504554.601,2547884.829,,禅城区,,,, ,XHS,5731764,消防栓,0,3.4, ,石湾区张槎一路莲大路北广园路口                              
748, ,,,,100,,J69861110385,3.487,504548.433,2548231.393,,禅城区,,,, ,XHS,5731765,消防栓,0,3.487, ,石湾区大富路娱乐娱城门口                                    
749, ,,,,100,,J70061110406,3.346,504557.09,2548500.53,,禅城区,,,, ,XHS,5731766,消防栓,0,3.346, ,工业路腾飞陶瓷厂门口                                        
767, ,,,,100,,J7016139273,3.608,505102.966,2548855.127,,禅城区,,,, ,XHS,5731767,消防栓,0,3.608, ,石湾区朗宝西路中比亚乔么托车厂门口                          
768, ,,,,100,,J7006149305,3.517,505243.083,2548610.813,,禅城区,,,, ,XHS,5731768,消防栓,0,3.517, ,石湾振兴路佳利饰品厂门口                                    
769, ,,,,100,,J6996149321,3.684,505244.343,2548406.745,,禅城区,,,, ,XHS,5731769,消防栓,0,3.684, ,大布路联运总公司门口北侧                                    
770, ,,,,100,,J6986149333,3.685,505249.16,2548301.144,,禅城区,,,, ,XHS,5731770,消防栓,0,3.685, ,石湾区大布路富华电器有限公司西南侧路口                      
772, ,,,,100,,J7006139348,3.427,505087.922,2548587.547,,禅城区,,,, ,XHS,5731772,消防栓,0,3.427, ,振兴路与朗宝路十字路口                                      
773, ,,,,100,,J7006149365,3.681,505277.401,2548508.676,,禅城区,,,, ,XHS,5731773,消防栓,0,3.681, ,石湾振兴路联运总公司北侧                                    
774, ,,,,100,,J7006159376,3.786,505393.661,2548509.447,,禅城区,,,, ,XHS,5731774,消防栓,0,3.786, ,石湾大布路联运总公司侧                                      
15, ,,,,100,,J69664512887,2.682,512921.171,2547858.955,,禅城区,,,, ,XHS,5731167,消防栓,0,2.682, ,下石工业区路口（永丰袜厂门口）                              
16, ,,,,100,,J69664412907,2.969,512796.285,2547815.253,,禅城区,,,, ,XHS,5731168,消防栓,0,2.969, ,下石角大街市鸿利制衣厂东侧路边                              
18, ,,,,100,,J69664213220,4.207,512336.783,2547781.293,,禅城区,,,, ,XHS,5731169,消防栓,0,4.207, ,普君北路仙涌街24号                                          
289, ,,,,100,,J7086324695,3.069,509705.707,2550292.093,,禅城区,,,, ,XHS,5731344,消防栓,0,3.069, ,站前路城北汽车站门口                                        
290, ,,,,100,,J7056374734,5.017,510893.654,2549576.534,,禅城区,,,, ,XHS,5731345,消防栓,0,5.017, ,南提路司令部门口东侧                                        
291, ,,,,100,,J7056364826,5.508,510656.67,2549593.808,,禅城区,,,, ,XHS,5731346,消防栓,0,5.508, ,南提路口汾江桥东侧路边                                      
292, ,,,,100,,J705633486,3.77,510043.542,2549615.989,,禅城区,,,, ,XHS,5731347,消防栓,0,3.77, ,无                                                          
294, ,,,,100,,J7076334960,3.99,510092.939,2550131.77,,禅城区,,,, ,XHS,5731348,消防栓,0,3.99, ,文昌路火车站调度楼对面                                      
296, ,,,,100,,J7146357008,0.863,510450.233,2551396.362,,禅城区,,,, ,XHS,5731350,消防栓,0,0.8625, ,                                                            
297, ,,,,100,,J69963264213,3.185,509791.445,2548439.894,,禅城区,,,, ,XHS,5731351,消防栓,0,3.185, ,白燕四街21号门口                                            
298, ,,,,100,,J69963264528,4.046,509664.18,2548475.287,,禅城区,,,, ,XHS,5731352,消防栓,0,4.046, ,轻工北街8号                                                 
299, ,,,,100,,J69963264674,3.29,509656.637,2548338.874,,禅城区,,,, ,XHS,5731353,消防栓,0,3.29, ,市纺织集团西侧                                              
302, ,,,,100,,J695637B32926,3.514,511077.252,2547670.26,,禅城区,,,, ,XHS,5731355,消防栓,1.2,2.314, ,建新路103号4座东侧                                          
303, ,,,,100,,J696637B3952,3.81,511031.978,2547788.464,,禅城区,,,, ,XHS,5731356,消防栓,0,3.81, ,卫宁路9号门口对面马路边                                     
305, ,,,,100,,J698637B52947,5.546,511082.37,2548326.617,,禅城区,,,, ,XHS,5731357,消防栓,0,5.546, ,人民路54号门口                                              
306, ,,,,100,,J699637B53236,3.586,510914.139,2548401.811,,禅城区,,,, ,XHS,5731358,消防栓,0,3.586, ,人民路92号门口                                              
307, ,,,,50,,J699637B53452,4.289,511018.493,2548530.245,,禅城区,,,, ,XHS,5731359,消防栓,0,4.289, ,美里40号门口                                                
430, ,,,,100,,J691637B2677,2.175,511118.396,2546823.536,,禅城区,,,, ,XHS,5731474,消防栓,0,2.175, ,同华东一路44号深圳发展银行门口                              
431, ,,,,100,,J691637B2717,3.225,510921.437,2546767.93,,禅城区,,,, ,XHS,5731475,消防栓,0,3.225, ,同华东一路12号北侧                                          
432, ,,,,100,,J691636B2787,2.122,510839.677,2546926.096,,禅城区,,,, ,XHS,5731476,消防栓,0,2.122, ,同济路40号一梯侧                                            
433, ,,,,100,,J690636B2920,2.567,510675.705,2546647.835,,禅城区,,,, ,XHS,5731477,消防栓,0,2.567, ,同华路市经济管理干部培训中心大门北侧                        
434, ,,,,100,,J690636B2963,2.62,510765.037,2546694.973,,禅城区,,,, ,XHS,5731478,消防栓,0,2.62, ,同华东一路3号北侧                                           
435, ,,,,100,,J690636B2986,2.847,510781.741,2546594.271,,禅城区,,,, ,XHS,5731479,消防栓,0,2.847, ,同华路2号4座东南侧                                          
436, ,,,,100,,J695636B31033,3.46,510874.138,2547552.902,,禅城区,,,, ,XHS,5731480,消防栓,0,3.46, ,西平里24号东侧                                              
437, ,,,,100,,J695634B3116,3.549,510351.187,2547688.249,,禅城区,,,, ,XHS,5731481,消防栓,0,3.549, ,汾江中路金城酒店西侧                                        
439, ,,,,100,,J695636B31225,4.221,510784.978,2547720.452,,禅城区,,,, ,XHS,5731482,消防栓,0,4.221, ,祖庙路百花广场南侧                                          
440, ,,,,100,,J696637B31288,3.865,510948.555,2547818.152,,禅城区,,,, ,XHS,5731483,消防栓,0,3.865, ,建新路109号                                                 
442, ,,,,100,,J694634B3148,3.098,510351.915,2547495.54,,禅城区,,,, ,XHS,5731484,消防栓,0,3.098, ,卫国西路10号南侧                                            
446, ,,,,100,,J696635B31676,4.1,510488.923,2547915.996,,禅城区,,,, ,XHS,5731486,消防栓,0,4.1, ,汾江南路65号之一门口对面                                    
447, ,,,,100,,J696635B31695,3.712,510461.471,2547904.021,,禅城区,,,, ,XHS,5731487,消防栓,0,3.712, ,汾江南路59号                                                
448, ,,,,100,,J696635B31710,3.102,510411.913,2547917.628,,禅城区,,,, ,XHS,5731488,消防栓,0,3.102, ,汾江南路26号                                                
449, ,,,,100,,J696634B31760,2.249,510317.029,2547831.05,,禅城区,,,, ,XHS,5731489,消防栓,0,2.249, ,城门头西路塑料三厂门口东侧                                  
614, ,,,,100,,J70263793845,3.003,511034.141,2548978.879,,禅城区,,,, ,XHS,5731654,消防栓,0,3.003, ,松风路44号门口                                              
615, ,,,,50,,J70263794138,3.771,511100.847,2549065.614,,禅城区,,,, ,XHS,5731655,消防栓,0,3.771, ,松风路先锋古道43号门口                                      
775, ,,,,100,,J7006159403,4.078,505418.254,2548598.401,,禅城区,,,, ,XHS,5731775,消防栓,0,4.078, ,石湾区振兴省六建机械仓库东侧                                
776, ,,,,100,,J7006149431,3.339,505356.498,2548665.889,,禅城区,,,, ,XHS,5731776,消防栓,0,3.339, ,振兴路比亚乔么托车厂南侧                                    
777, ,,,,100,,J7006159453,3.543,505566.725,2548693.351,,禅城区,,,, ,XHS,5731777,消防栓,0,3.543, ,石湾振兴路佛山电力发展实业总公司北侧大门对面                
779, ,,,,100,,J7016159501,3.325,505612.379,2548877.272,,禅城区,,,, ,XHS,5731779,消防栓,0,3.325, ,                                                            
780, ,,,,100,,J7006159513,3.728,505616.913,2548598.293,,禅城区,,,, ,XHS,5731780,消防栓,0,3.728, ,石湾区大布路佛电力局铁塔厂东侧                              
781, ,,,,100,,J7006159527,3.548,505527.653,2548519.913,,禅城区,,,, ,XHS,5731781,消防栓,0,3.548, ,石湾大布路佛山电力局铁塔东侧                                
782, ,,,,100,,J6996159541,3.787,505429.419,2548437.275,,禅城区,,,, ,XHS,5731782,消防栓,0,3.787, ,大布路省六建搭棚公司仓库门口北侧                            
784, ,,,,100,,J6996139611,3.716,504903.277,2548479.252,,禅城区,,,, ,XHS,5731784,消防栓,0,3.716, ,                                                            
787, ,,,,100,,J6996139675,3.601,505108.682,2548409.886,,禅城区,,,, ,XHS,5731787,消防栓,0,3.601, ,石湾朗宝西路腾龙光学有限公司第二员工宿舍西侧                
788, ,,,,100,,J6986139694,3.75,505095.523,2548256.852,,禅城区,,,, ,XHS,5731788,消防栓,0,3.75, ,石湾朗宝西路大布路路口                                      
790, ,,,,100,,J6996149728,3.875,505330.101,2548383.237,,禅城区,,,, ,XHS,5731789,消防栓,0,3.875, ,大布路联运总公司南侧                                        
792, ,,,,100,,J6986139785,3.907,505050.793,2548191.352,,禅城区,,,, ,XHS,5731791,消防栓,0,3.907, ,石湾大布路桂林陆军学院司务长培训大队门口东侧                
793, ,,,,100,,J6986139795,4.033,504934.618,2548156.725,,禅城区,,,, ,XHS,5731792,消防栓,0,4.033, ,石湾大布路桂林陆军学院司务长培训大队门口西侧                
794, ,,,,100,,J6986129807,3.947,504818.707,2548169.121,,禅城区,,,, ,XHS,5731793,消防栓,0,3.947, ,大布路利达厂提货处门口                                      
308, ,,,,100,,J699636B53680,3.49,510820.293,2548431.93,,禅城区,,,, ,XHS,5731360,消防栓,0,3.49, ,祖庙路20号                                                  
309, ,,,,100,,J699636B53961,3.073,510629.42,2548357.645,,禅城区,,,, ,XHS,5731361,消防栓,0,3.073, ,南善街1号门口                                               
310, ,,,,100,,J699635B54237,3.196,510390.288,2548522.785,,禅城区,,,, ,XHS,5731362,消防栓,0,3.196, ,汾江中路78号南侧                                            
312, ,,,,100,,J69363761009,1.963,510928.109,2547168.562,,禅城区,,,, ,XHS,5731364,消防栓,0,1.963, ,垂虹路体育三街路口                                          
313, ,,,,100,,J69463761242,2.255,510936.823,2547349.353,,禅城区,,,, ,XHS,5731365,消防栓,0,2.255, ,垂虹路3号之四对面                                           
133, ,,,,50,,J70963364559,2.656,510063.266,2550456.61,,禅城区,,,, ,XHS,5731211,消防栓,0,2.6565, ,敦厚佛山市和兴鞋厂门口                                      
134, ,,,,100,,J71063364670,2.423,510062.436,2550548.253,,禅城区,,,, ,XHS,5731212,消防栓,0,2.4232, ,敦厚西区治安队门口东南 侧                                   
136, ,,,,50,,J71063364746,3.368,509909.193,2550557.427,,禅城区,,,, ,XHS,5731214,消防栓,0,3.3683, ,原五金厂53512号房东侧                                       
