消防栓编号,施工地址或工程编号,工程编号,安装日期,所属公司,消防栓口径,样式,本点号,地面高程,横坐标,纵坐标,管理单位,所属区县,录入人员,录入时间,目前状况,备注,设备类别,关键字,设备类型,埋设深度,管顶高程,材质,所在道路
2737,2006-0802,,2006/12/7,,100,,J2006-0802GX60,2.713,509170.951,2550656.686,,禅城区,,,, ,XHS,5733862,消防栓,-1,3.713, ,                                                            
3046, ,,2008/12/26,,100,,J2008-1073GX5,3.151,511979.45,2545754.324,,禅城区,,,, ,XHS,5733863,消防栓,-0.7,3.851, ,                                                            
3047, ,,2010/1/26,,100,,J2009-0862GX10,3.336,513647.346,2544844.638,,禅城区,,,, ,XHS,5733864,消防栓,-0.67,4.006, ,                                                            
3048, ,,2010/4/28,,100,,J2010-0127GX4,4.235,508403.509,2551526.46,,禅城区,,,, ,XHS,5733865,消防栓,-0.71,4.945, ,                                                            
3050, ,,2011/2/1,,100,,J2010-0838GX9,2.656,512735.718,2548422.395,,禅城区,,,, ,XHS,5733867,消防栓,-0.7,3.356, ,                                                            
3052, ,,2012/1/9,,100,,J2011-0935GX5,4.968,511640.304,2549046.129,,禅城区,,,, ,XHS,5733868,消防栓,-0.86,5.828, ,                                                            
3053, ,,2012/1/9,,100,,J2011-0935GX12,4.219,511752.056,2549020.221,,禅城区,,,, ,XHS,5733869,消防栓,-1,5.219, ,                                                            
309, ,,,,100,,J655603J864,3.09,503061.04,2537726.249,,南庄区,,,,,XHS,5937833,消防栓,-0.7,3.79, ,                                                            
311, ,,,,100,,J655603J900,3.842,503006.432,2537754.834,,南庄区,,,,,XHS,5937834,消防栓,-0.7,4.542, ,                                                            
312, ,,,,100,,J655603J914,3.339,503061.782,2537846.784,,南庄区,,,,,XHS,5937835,消防栓,-0.7,4.039, ,                                                            
313, ,,,,100,,J655603J925,3.479,503060.012,2537966.706,,南庄区,,,,,XHS,5937836,消防栓,-0.7,4.179, ,                                                            
314, ,,,,100,,J655603J941,3.396,503058.199,2538086.625,,南庄区,,,,,XHS,5937837,消防栓,-0.7,4.096, ,                                                            
316, ,,,,100,,J655603J972,3.925,503054.226,2538338.887,,南庄区,,,,,XHS,5937839,消防栓,-0.7,4.625, ,                                                            
317, ,,,,100,,J655603J985,3.423,503052.598,2538444.839,,南庄区,,,,,XHS,5937840,消防栓,-0.7,4.123, ,                                                            
318, ,,,,100,,J655603J1002,3.458,502792.852,2537291.736,,南庄区,,,,,XHS,5937841,消防栓,-0.7,4.158, ,                                                            
319, ,,,,100,,J655603J1015,3.316,502804.003,2537175.835,,南庄区,,,,,XHS,5937842,消防栓,-0.7,4.016, ,                                                            
321, ,,,,100,,J656606J69,3.766,503814.229,2539763.516,,南庄区,,,,,XHS,5937844,消防栓,-0.7,4.466, ,                                                            
322, ,,,,100,,J656606J96,3.565,503984.528,2539820.908,,南庄区,,,,,XHS,5937845,消防栓,-0.7,4.265, ,                                                            
323, ,,,,100,,J656606J108,3.807,504170.401,2539856.871,,南庄区,,,,,XHS,5937846,消防栓,-0.7,4.507, ,                                                            
325, ,,,,100,,J656606J174,3.578,504652.877,2540034.987,,南庄区,,,,,XHS,5937847,消防栓,-0.7,4.278, ,                                                            
326, ,,,,100,,J656606J192,3.852,504775.793,2540065.854,,南庄区,,,,,XHS,5937848,消防栓,-0.7,4.552, ,                                                            
328, ,,,,100,,J656606J252,3.802,504837.326,2540051.172,,南庄区,,,,,XHS,5937850,消防栓,-0.7,4.502, ,                                                            
229, ,,,,100,,J660597J98,4.656,500935.136,2540536.554,,南庄区,,,,,XHS,5937851,消防栓,-0.7,5.356, ,                                                            
230, ,,,,100,,J660598J7,5.91,501265.82,2540621.89,,南庄区,,,,,XHS,5937852,消防栓,-0.7,6.61, ,                                                            
231, ,,,,100,,J661597J17,4.656,500984.556,2540813.359,,南庄区,,,,,XHS,5937853,消防栓,-0.7,5.356, ,                                                            
233, ,,,,100,,J661597J33,4.456,500929.647,2540691.062,,南庄区,,,,,XHS,5937855,消防栓,-0.7,5.156, ,                                                            
234, ,,,,100,,J661597J44,6.161,501036.527,2540703.994,,南庄区,,,,,XHS,5937856,消防栓,0.6,5.561, ,                                                            
235, ,,,,100,,J661598J6,5.81,501201,2540758.7,,南庄区,,,,,XHS,5937857,消防栓,-0.7,6.51, ,                                                            
1266, ,,,,100,,J684637J0054,2.653,510957.908,2545428.696,,禅城区,,,, ,XHS,5732216,消防栓,-0.57,3.22, ,华远西路45号西北侧                                          
1267, ,,,,100,,J684637J0084,2.877,511019.974,2545512.068,,禅城区,,,, ,XHS,5732217,消防栓,-0.65,3.53, ,华远西路49号西侧                                            
1268, ,,,,100,,J684638J0002D,1.88,511297.09,2545484.327,,禅城区,,,, ,XHS,5732218,消防栓,1.35,1.1, ,                                                            
1269, ,,,,100,,J684638J0012A,2.175,511240.305,2545366.814,,禅城区,,,, ,XHS,5732219,消防栓,-0.7,2.88, ,华远东路平东村拾亩街3号对面                                 
